Mitogenomes	sample	Morphpspecies_Image	Image_Family	Image_Subfamily	Site_ID	Site	Collection_method	Collection_year	Country
BIOD01423	BIBC_BIP24_G02	MS2284	Histeridae		PC	Poring	FIT1		Malaysia
BIOD01425	BIBC_BIP14_H08	MS1340	Leiodidae		PA	Poring	WINKLER		Malaysia
BIOD01437	BIBC_BIP27_D06	MS2540	Staphylinidae	Tachyporinae	PC	Poring	FIT1		Malaysia
BIOD01444	BIBC_BIP19_B06	MS1746	Leiodidae	Leiodinae	PB	Poring	FIT2		Malaysia
BIOD01452	BIBC_BIP19_C04	MS1756	Leiodidae		PB	Poring	FIT2		Malaysia
BIOD01491	BIBC_BIP23_A02	MS2116	Staphylinidae	Pselaphinae	PA	Poring	FIT1		Malaysia
BIOD01496	BIBC_BIP10_A08	MS872	Staphylinidae	Staphylininae	PD	Poring	BEATING		Malaysia
BIOD01521	BIBC_BIP17_C08	MS1568	Hydrophilidae	Sphaeridiinae	PB	Poring	FIT2		Malaysia
BIOD01528	BIBC_BIP23_A06	MS2120	Hydrophilidae		PA	Poring	FIT1		Malaysia
BIOD01530	BIBC_BIP12_G04	MS1132	Leiodidae		PC	Poring	WINKLER		Malaysia
BIOD01533	BIBC_BIP11_E05	MS1013	Staphylinidae	Paederinae	PB	Poring	WINKLER		Malaysia
BIOD01577	BIBC_BIP28_D12	MS2642	Leiodidae		PD	Poring	FIT2		Malaysia
BIOD01594	BIBC_BIP12_F04	MS1120	Hydrophilidae	Sphaeridiinae	PC	Poring	WINKLER		Malaysia
BIOD01597	BIBC_BIP29_B08	MS2710	Staphylinidae	Aleocharinae	PD	Poring	FIT2		Malaysia
BIOD01600	BIBC_BIP13_H01	MS1237	Staphylinidae	Aleocharinae	PA	Poring	WINKLER		Malaysia
BIOD01605	BIBC_BIP06_B03	MS495	Staphylinidae	Scaphidiinae	PA	Poring	BEATING		Malaysia
BIOD01621	BIBC_BIP07_G07	MS655	Histeridae		PC	Poring	BEATING		Malaysia
BIOD01632	BIBC_BIP28_F09	MS2663	Staphylinidae	Aleocharinae	PD	Poring	FIT2		Malaysia
BIOD00164	BIBC_BIP22_B04	MS2033	Staphylinidae	Staphylininae	PA	Poring	FIT1		Malaysia
BIOD01649	BIBC_BIP26_E01	MS2451	Staphylinidae	Tachyporinae	PC	Poring	FIT1		Malaysia
BIOD01657	BIBC_BIP07_H06	MS666	Histeridae		PC	Poring	BEATING		Malaysia
BIOD01678	BIBC_BIP21_F08	MS1989	Histeridae		PA	Poring	FIT1		Malaysia
BIOD01692	BIBC_BIP18_F01	MS1693	Staphylinidae	Tachyporinae	PB	Poring	FIT2		Malaysia
BIOD01706	BIBC_BIP10_H09	MS957	Staphylinidae	Aleocharinae	PD	Poring	BEATING		Malaysia
BIOD01721	BIBC_BIP12_H02	MS1142	Staphylinidae	Pselaphinae	PC	Poring	WINKLER		Malaysia
BIOD01780	BIBC_BIP15_A01	MS1345	Staphylinidae	Pselaphinae	PA	Poring	WINKLER		Malaysia
BIOD01783	BIBC_BIP13_G09	MS1233	Staphylinidae	Paederinae	PA	Poring	WINKLER		Malaysia
BIOD01814	BIBC_BIP12_E08	MS1112	Leiodidae	Leiodinae	PC	Poring	WINKLER		Malaysia
BIOD01828	BIBC_BIP25_C08	MS2338	Staphylinidae	Oxytelinae	PC	Poring	FIT1		Malaysia
BIOD01630	BIBC_BIP26_C11	MS2437	Staphylinidae	Tachyporinae	PC	Poring	FIT1		Malaysia
BIOD01838	BIBC_BIP22_E10	MS2075	Staphylinidae	Aleocharinae	PA	Poring	FIT1		Malaysia
BIOD01846	BIBC_BIP19_D05	MS1769	Leiodidae		PB	Poring	FIT2		Malaysia
BIOD01865	BIBC_BIP26_B08	MS2422	Leiodidae		PC	Poring	FIT1		Malaysia
BIOD01871	BIBC_BIP23_F04	MS2178	Staphylinidae	Staphylininae	PC	Poring	FIT1		Malaysia
BIOD01878	BIBC_BIP19_E10	MS1786	Staphylinidae	Aleocharinae	PB	Poring	FIT2		Malaysia
BIOD01929	BIBC_BIP17_E07	MS1591	Histeridae		PB	Poring	FIT2		Malaysia
BIOD01945	BIBC_BIP20_B12	MS1848	Staphylinidae	Pselaphinae	PB	Poring	FIT2		Malaysia
BIOD01973	BIBC_BIP08_A01	MS673	Histeridae		PC	Poring	BEATING		Malaysia
BIOD01980	BIBC_BIP26_D05	MS2443	Hydrophilidae		PC	Poring	FIT1		Malaysia
BIOD02020	BIBC_BIP26_D01	MS2439	Staphylinidae	Scaphidiinae	PC	Poring	FIT1		Malaysia
BIOD02024	BIBC_BIP17_F03	MS1599	Staphylinidae	Tachyporinae	PB	Poring	FIT2		Malaysia
BIOD02071	BIBC_BIP17_E01	MS1585	Histeridae		PB	Poring	FIT2		Malaysia
BIOD02075	BIBC_BIP17_B08	MS1556	Staphylinidae	Scaphidiinae	PB	Poring	FIT2		Malaysia
BIOD02097	BIBC_BIP25_C10	MS2340	Staphylinidae	Tachyporinae	PC	Poring	FIT1		Malaysia
BIOD02105	BIBC_BIP29_H11	MS2785	Staphylinidae	Scaphidiinae	PB	Poring	FIT1		Malaysia
BIOD02129	BIBC_BIP11_A10	MS970	Hydrophilidae	Sphaeridiinae	PD	Poring	BEATING		Malaysia
BIOD02134	BIBC_BIP11_H09	MS1053	Staphylinidae	Aleocharinae	PB	Poring	WINKLER		Malaysia
BIOD02148	BIBC_BIP28_C08	MS2626	Histeridae		PD	Poring	FIT2		Malaysia
BIOD02152	BIBC_BIP22_A12	MS2029	Hydrophilidae		PA	Poring	FIT1		Malaysia
BIOD02155	BIBC_BIP22_G07	MS2097	Staphylinidae	Scaphidiinae	PA	Poring	FIT1		Malaysia
BIOD02174	BIBC_BIP23_A04	MS2118	Histeridae		PA	Poring	FIT1		Malaysia
BIOD02180	BIBC_BIP26_G09	MS2483	Staphylinidae	Oxytelinae	PC	Poring	FIT1		Malaysia
BIOD02183	BIBC_BIP19_B11	MS1751	Hydrophilidae		PB	Poring	FIT2		Malaysia
